,Landing Page,Sessions,content_same_visit___num_initiated_quotes,content_same_visit___num_quotes,content_same_visit___num_sales,Conversion Rate %,Position
188,/resource-centres/home-improvement/learning-about-roof-types,303.0,3.0,1.0,0.0,0.0,34.0
189,/contents/students,316.0,81.0,31.0,5.0,1.58,62.0
190,/resource-centres/home-personal-safety/preventing-bicycle-theft,318.0,13.0,2.0,0.0,0.0,21.0
191,/home/renovation,303.0,70.0,34.0,0.0,0.0,21.5
192,/resource-centres/home-improvement/rain-barrels,303.0,0.0,0.0,0.0,0.0,35.0
194,/resource-centres/insurance-basics/mice-damage,298.0,0.0,0.0,0.0,0.0,4.0
197,/resource-centres/homeowner/complete-guide-to-homeowners-insurance,293.0,3.0,2.0,0.0,0.0,20.5
198,/fr/centres-ressources/lexique-assurance/soumission,283.0,1.0,0.0,0.0,0.0,11.0
199,/resource-centres/condo-owner/condo-owner-considerations,290.0,12.0,4.0,1.0,0.34,11.33
201,/resource-centres/renter/getting-tenant-insurance,277.0,14.0,7.0,1.0,0.36,6.5
202,/resource-centres/landlord/insuring-rental-suites,276.0,3.0,2.0,0.0,0.0,1.0
203,/resource-centres/renter/completing-a-home-rental-application,260.0,1.0,1.0,0.0,0.0,27.0
204,/home/manitoba/winnipeg,251.0,107.0,49.0,2.0,0.8,7.5
205,/resource-centres/insurance-basics/insuring-jewellery,268.0,7.0,1.0,1.0,0.37,13.0
206,/resource-centres/insurance-basics/ways-to-save-money,277.0,4.0,1.0,0.0,0.0,18.25
208,/tenant/bc/burnaby,249.0,125.0,71.0,27.0,10.84,1.0
209,/home/quebec/montreal,246.0,118.0,70.0,10.0,4.07,3.0
211,/house/saskatchewan,239.0,40.0,21.0,2.0,0.84,11.5
212,/fr/soutien/faq-assurances,243.0,0.0,0.0,0.0,0.0,34.0
213,/resource-centres/insurance-glossary/coverage-b,233.0,1.0,0.0,0.0,0.0,3.0
216,/condo/bc/vancouver,219.0,104.0,56.0,9.0,4.11,5.0
217,/fr/centres-ressources/securite-domiciliaire-personnelle/cartes-zones-inondables-canadiennes,226.0,7.0,0.0,0.0,0.0,10.0
219,/resource-centres/home-improvement/home-maintenance-schedules,317.0,0.0,0.0,0.0,0.0,18.0
222,/resource-centres/home-improvement/your-homes-permit-history-and-renovations,200.0,1.0,0.0,0.0,0.0,44.25
223,/resource-centres/insurance-basics/understanding-replacement-cost-coverage,219.0,3.0,2.0,0.0,0.0,3.0
224,/condo,225.0,93.0,50.0,20.0,8.89,31.0
229,/fr/habitation/quebec/montreal,191.0,88.0,48.0,10.0,5.24,8.2
231,/resource-centres/renter/negotiating-signing-a-residential-lease,187.0,1.0,0.0,0.0,0.0,8.0
233,/home/fire-theft,179.0,35.0,6.0,0.0,0.0,1.0
234,/house/manitoba,185.0,49.0,23.0,4.0,2.16,13.5
235,/resource-centres/landlord/airbnb-horror-stories,171.0,1.0,1.0,0.0,0.0,13.0
236,/resource-centres/insurance-basics/home-based-business-insurance,183.0,8.0,2.0,0.0,0.0,13.33
237,/home/ontario/mississauga,173.0,81.0,39.0,11.0,6.36,2.67
239,/resource-centres/insurance-glossary/limited-depreciation,178.0,0.0,0.0,0.0,0.0,1.0
243,/home/saskatchewan/saskatoon,163.0,67.0,29.0,3.0,1.84,6.5
244,/fr/maison/ancienne,176.0,72.0,38.0,1.0,0.57,47.0
245,/home/ontario/london,161.0,70.0,42.0,10.0,6.21,2.75
246,/home/ontario/brampton,163.0,70.0,34.0,7.0,4.29,3.0
248,/condo/alberta/calgary,154.0,72.0,46.0,10.0,6.49,4.5
251,/home/saskatchewan/regina,160.0,52.0,25.0,5.0,3.12,4.5
253,/fr/centres-ressources/bases-assurance/frais-subsistance-supplementaires,161.0,2.0,1.0,0.0,0.0,11.0
255,/resource-centres/insurance-basics/drones,156.0,6.0,1.0,0.0,0.0,5.0
258,/home/alberta/lethbridge,149.0,67.0,36.0,6.0,4.03,4.0
260,/tenant/ontario/markham,144.0,70.0,42.0,20.0,13.89,1.0
261,/home/bc/surrey,144.0,48.0,28.0,3.0,2.08,3.5
263,/resource-centres/homeowner/insuring-your-landscaping,141.0,0.0,0.0,0.0,0.0,9.5
264,/home/ontario/windsor,139.0,61.0,29.0,4.0,2.88,3.25
265,/home/quebec,132.0,34.0,22.0,10.0,7.58,11.0
266,/home/bc/nanaimo,137.0,62.0,32.0,12.0,8.76,5.0
270,/resource-centres/insurance-basics/water-damage,131.0,1.0,0.0,0.0,0.0,12.0
273,/tenant/alberta/fort-mcmurray,136.0,65.0,38.0,16.0,11.76,2.5
279,/home/flood,123.0,3.0,0.0,0.0,0.0,1.0
280,/home/alberta/red-deer,115.0,60.0,33.0,8.0,6.96,8.0
283,/home/identity-theft,113.0,5.0,1.0,0.0,0.0,15.0
284,/resource-centres/insurance-glossary/home-warranty,115.0,1.0,0.0,0.0,0.0,48.0
286,/fr/habitation,118.0,55.0,35.0,8.0,6.78,43.25
289,/types-specialty-property,118.0,1.0,1.0,0.0,0.0,7.0
290,/home/alberta/airdrie,113.0,58.0,37.0,8.0,7.08,4.0
291,/vacation-property,114.0,25.0,13.0,4.0,3.51,7.0
292,/home/bc/victoria,102.0,39.0,22.0,2.0,1.96,7.0
293,/resource-centres/getting-to-know-your-home/heat-pump,111.0,0.0,0.0,0.0,0.0,67.67
295,/tenant/alberta/medicine-hat,109.0,60.0,35.0,12.0,11.01,1.0
298,/home/bc/abbotsford,99.0,36.0,20.0,3.0,3.03,2.5
299,/tenant/bc/richmond,95.0,44.0,27.0,10.0,10.53,1.0
303,/resource-centres/home-personal-safety/wood-burning-stove-safety-tips-for-your-home,94.0,1.0,0.0,0.0,0.0,9.5
304,/resource-centres/insurance-basics/worldwide-home-insurance-protection,101.0,1.0,0.0,0.0,0.0,4.0
307,/resource-centres/insurance-basics/hail-damage,102.0,1.0,0.0,0.0,0.0,14.33
308,/tenant/bc/coquitlam,94.0,39.0,20.0,10.0,10.64,1.0
311,/home/ontario/hamilton,90.0,46.0,31.0,10.0,11.11,4.5
312,/fr/centres-ressources/bases-assurance/assurance-responsabilite-civile,87.0,4.0,2.0,0.0,0.0,20.0
313,/home/bc/kelowna,85.0,46.0,26.0,5.0,5.88,5.0
315,/condo/alberta,81.0,40.0,26.0,7.0,8.64,7.0
316,/home/heritage,84.0,22.0,13.0,1.0,1.19,4.0
318,/fr/habitation/quebec,97.0,35.0,26.0,8.0,8.25,37.5
319,/fr/maison-jumelee,82.0,7.0,3.0,0.0,0.0,24.0
322,/condo/manitoba/winnipeg,81.0,26.0,13.0,1.0,1.23,4.75
327,/home/bc/chilliwack,79.0,26.0,8.0,1.0,1.27,2.0
328,/home/water-backup,82.0,2.0,1.0,0.0,0.0,3.0
329,/resource-centres/home-improvement/how-to-compare-contractor-bids-for-your-home-renovation,75.0,1.0,0.0,0.0,0.0,2.5
330,/cottage,75.0,25.0,10.0,1.0,1.33,16.0
331,/fr/locataire,77.0,33.0,18.0,2.0,2.6,26.0
333,/home/ontario/kitchener,76.0,38.0,17.0,3.0,3.95,2.5
334,/homeowners,83.0,23.0,16.0,2.0,2.41,34.0
335,/resource-centres/insurance-basics/insuring-new-possessions,88.0,0.0,0.0,0.0,0.0,1.0
336,/home/bc/richmond,74.0,28.0,14.0,2.0,2.7,2.0
339,/insurance-options-for-laneway-homes,70.0,1.0,0.0,0.0,0.0,1.0
340,/resource-centres/home-buying-selling-moving/buying-a-home-for-the-first-time,97.0,2.0,1.0,1.0,1.03,12.0
341,/resource-centres/insurance-basics/home-insurance-policy-types,78.0,0.0,0.0,0.0,0.0,15.0
345,/home/bc/burnaby,65.0,33.0,14.0,4.0,6.15,2.5
346,/tenant/bc/langley,69.0,32.0,13.0,4.0,5.8,1.0
348,/resource-centres/insurance-glossary/special-assessment,66.0,1.0,0.0,0.0,0.0,9.0
349,/home/business,68.0,22.0,5.0,0.0,0.0,18.0
350,/home/ontario/vaughan,60.0,29.0,15.0,6.0,10.0,3.5
356,/home/bc/north-vancouver,57.0,21.0,16.0,4.0,7.02,2.0
368,/resource-centres/getting-to-know-your-home/your-windows,58.0,1.0,0.0,0.0,0.0,43.0
369,/condo/ontario/ottawa,56.0,25.0,12.0,3.0,5.36,2.5
371,/resource-centres/home-improvement/choosing-energy-efficient-appliances-a-quick-guide,54.0,0.0,0.0,0.0,0.0,12.5
373,/fr/soumission-assurance-habitation-en-ligne,50.0,21.0,12.0,1.0,2.0,17.86
379,/habitational,47.0,3.0,2.0,0.0,0.0,10.0
382,/home/all-risk,47.0,9.0,3.0,0.0,0.0,8.0
383,/home/bc/langley,45.0,23.0,9.0,1.0,2.22,2.5
385,/condo/bc/surrey,43.0,12.0,5.0,1.0,2.33,1.5
388,/home/alberta/grand-prairie,47.0,21.0,10.0,4.0,8.51,3.0
393,/resource-centres/insurance-basics/understanding-your-insurance-score,43.0,0.0,0.0,0.0,0.0,14.0
395,/home/bc/coquitlam,40.0,24.0,14.0,4.0,10.0,2.0
396,/home/bc/maple-ridge,40.0,15.0,2.0,0.0,0.0,2.0
402,/home/manitoba/brandon,41.0,14.0,6.0,1.0,2.44,2.0
403,/resource-centres/home-personal-safety/working-from-home-insurance-considerations,37.0,0.0,0.0,0.0,0.0,69.0
405,/condo/bc/burnaby,36.0,15.0,4.0,0.0,0.0,1.5
409,/condo/ontario/mississauga,33.0,12.0,5.0,1.0,3.03,3.0
410,/condo/saskatchewan/saskatoon,34.0,2.0,1.0,0.0,0.0,8.5
416,/home/alberta/fort-mcmurray,36.0,14.0,7.0,1.0,2.78,6.0
421,/home/alberta/medicine-hat,31.0,14.0,10.0,3.0,9.68,2.0
428,/home/service-line,33.0,4.0,1.0,0.0,0.0,17.0
431,/home/saskatchewan/prince-albert,28.0,8.0,6.0,0.0,0.0,2.0
433,/resource-centres/home-improvement/how-an-hvac-zoning-system-makes-a-more-comfortable-home,28.0,0.0,0.0,0.0,0.0,32.0
434,/resource-centres/insurance-basics/insuring-wine-collections,32.0,1.0,1.0,0.0,0.0,9.0
435,/fr/habitation/protection-juridique,27.0,1.0,0.0,0.0,0.0,13.0
437,/resource-centres/home-personal-safety/preparing-for-wildfires,30.0,1.0,1.0,0.0,0.0,18.0
452,/fr/biens-meubles,24.0,5.0,0.0,0.0,0.0,31.0
476,/fr/habitation/tremblement-terre,20.0,1.0,0.0,0.0,0.0,20.0
477,/home/bc/delta,21.0,6.0,4.0,0.0,0.0,1.0
478,/home/ontario/markham,20.0,4.0,2.0,0.0,0.0,2.0
480,/home/bc/whistler,19.0,9.0,4.0,0.0,0.0,3.0
492,/fr/habitation/incendie-vol,18.0,6.0,3.0,0.0,0.0,11.0
501,/resource-centres/home-personal-safety/snow-removal-this-winter,16.0,0.0,0.0,0.0,0.0,75.0
503,/fr/habitation/airbnb,15.0,1.0,1.0,0.0,0.0,8.0
507,/resource-centres/home-improvement/diy-or-hire-a-contractor-for-your-home-renovation,16.0,0.0,0.0,0.0,0.0,28.0
509,/fr/centres-ressources/lexique-assurance/franchise,16.0,0.0,0.0,0.0,0.0,4.0
513,/home/ontario/barrie,15.0,5.0,2.0,0.0,0.0,6.0
524,/condo/saskatchewan/regina,12.0,6.0,4.0,0.0,0.0,7.5
525,/fr/habitation/entreprise,16.0,7.0,4.0,0.0,0.0,37.0
534,/condo/bc/abbotsford,11.0,3.0,2.0,1.0,9.09,3.5
540,/condo/bc/richmond,10.0,3.0,2.0,0.0,0.0,2.0
555,/condo/ontario/markham,10.0,2.0,1.0,0.0,0.0,1.5
572,/condo/bc/coquitlam,9.0,6.0,3.0,0.0,0.0,1.5
596,/home/bc/white-rock,9.0,1.0,0.0,0.0,0.0,2.0
613,/house/bc/saanich,6.0,2.0,2.0,0.0,0.0,3.0
619,/fr/habitation/inondation,5.0,4.0,4.0,0.0,0.0,13.0
